,Activation,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
0,sigmoid,97.536,97.624,97.61,97.77,86
1,tanh,97.48599999999999,97.578,97.65,97.76,62
2,relu,97.424,97.55,97.52,97.77,34
3,linear,92.23400000000001,92.496,92.41,92.75999999999999,33
4,elu,97.88,98.01599999999999,97.92999999999999,98.17,69
5,selu,97.89999999999999,97.98200000000001,97.99,98.2,80
6,softplus,97.636,97.76599999999999,97.69,97.9,45
7,softsign,97.38399999999999,97.468,97.49,97.61,73
8,hard_sigmoid,97.412,97.49600000000001,97.57000000000001,97.77,96
9,LeakyReLU,97.21399999999998,97.32,97.32,97.49,81
10,ThresholdedReLU,86.636,95.66600000000001,89.16,96.22,12
11,"LeakyReLU, alpha = 0.01",97.35600000000002,97.552,97.48,97.72999999999999,28
12,"LeakyReLU, alpha = 1.5",94.03,94.168,94.21000000000001,94.37,83
13,"ThresholdedReLU, theta = 1.0",75.464,92.65599999999999,78.45,94.23,4
14,"ThresholdedReLU, theta = 0.13",97.09199999999998,97.38200000000002,97.18,97.56,19
15,"elu, alpha = 0.5",97.866,97.902,97.94,98.1,77
16,"elu, alpha = 1.5",97.894,97.966,97.96000000000001,98.09,98
